id,name,price,stock
285,Product 285,1519.3,16
286,Product 286,291.47,245
287,Product 287,224.54,225
288,Product 288,1865.2,487
289,Product 289,1827.86,226
290,Product 290,472.31,240
291,Product 291,1735.56,111
292,Product 292,109.8,348
293,Product 293,112.34,130
294,Product 294,1510.38,116
295,Product 295,549.5,305
296,Product 296,112.66,361
297,Product 297,1746.96,22
298,Product 298,765.01,20
299,Product 299,664.19,339
300,Product 300,1669.64,435
301,Product 301,1690.43,125
302,Product 302,828.9,208
303,Product 303,1077.95,437
304,Product 304,1075.06,139
305,Product 305,898.27,414
306,Product 306,1306.65,49
307,Product 307,1958.91,213
308,Product 308,429.43,318
309,Product 309,933.9,446
310,Product 310,987.75,1
311,Product 311,816.78,4
312,Product 312,1178.87,142
313,Product 313,1233.45,373
314,Product 314,1067.23,103
315,Product 315,526.43,122
316,Product 316,848.87,119
317,Product 317,944.61,258
318,Product 318,1283.03,141
319,Product 319,534.29,474
320,Product 320,783.86,155
321,Product 321,112.1,192
322,Product 322,879.97,360
323,Product 323,329.29,37
324,Product 324,786.88,37
325,Product 325,580.98,135
326,Product 326,1650.64,69
327,Product 327,1855.19,145
328,Product 328,1807.22,226
329,Product 329,992.24,297
330,Product 330,412.11,136
331,Product 331,693.45,279
332,Product 332,1076.36,99
333,Product 333,360.23,489
334,Product 334,1416.78,346
335,Product 335,1619.12,476
336,Product 336,1088.1,222
337,Product 337,712.32,274
338,Product 338,1932.92,83
339,Product 339,1287.34,92
340,Product 340,1742.37,392
341,Product 341,1825.91,101
342,Product 342,1884.46,186
343,Product 343,385.64,172
344,Product 344,1117.07,8
345,Product 345,1453.88,449
346,Product 346,909.87,122
347,Product 347,149.91,160
348,Product 348,1343.47,190
349,Product 349,189.01,139
350,Product 350,771.28,414
351,Product 351,1201.96,265
352,Product 352,189.37,198
353,Product 353,1459.33,500
354,Product 354,128.27,42
355,Product 355,1126.22,310
356,Product 356,662.13,480
357,Product 357,547.71,110
358,Product 358,588.36,47
359,Product 359,1742.08,75
360,Product 360,1454.04,45
361,Product 361,1608.95,292
362,Product 362,209.86,204
363,Product 363,1707.98,406
364,Product 364,207.7,185
365,Product 365,1991.35,10
366,Product 366,1153.3,190
367,Product 367,1439.66,303
368,Product 368,155.14,371
369,Product 369,1903.94,247
370,Product 370,1510.15,247
371,Product 371,1101.47,12
372,Product 372,1625.91,362
373,Product 373,826.97,29
374,Product 374,24.57,283
375,Product 375,837.02,75
376,Product 376,415.22,3
377,Product 377,167.04,176
378,Product 378,222.5,194
379,Product 379,793.11,324
380,Product 380,1422.81,329
381,Product 381,1587.17,396
382,Product 382,160.33,213
383,Product 383,1969.3,165
384,Product 384,1086.59,245
385,Product 385,1683.21,280
386,Product 386,200.71,114
387,Product 387,877.95,177
388,Product 388,1531.54,429
389,Product 389,1491.94,409
390,Product 390,587.29,353
391,Product 391,1623.93,233
392,Product 392,1771.68,166
393,Product 393,1458.3,32
394,Product 394,31.14,413
395,Product 395,366.95,321
396,Product 396,1253.5,183
397,Product 397,1643.62,24
398,Product 398,466.65,314
399,Product 399,1287.85,11
400,Product 400,1095.27,320
401,Product 401,985.31,467
402,Product 402,1854.67,236
403,Product 403,523.98,456
404,Product 404,1163.08,247
405,Product 405,338.97,367
406,Product 406,252.5,122
407,Product 407,1488.68,418
408,Product 408,236.15,238
409,Product 409,963.23,485
410,Product 410,268.53,0
411,Product 411,797.26,461
412,Product 412,262.59,74
413,Product 413,1438.66,362
414,Product 414,482.53,248
415,Product 415,289.88,483
416,Product 416,1961.5,176
417,Product 417,1684.42,244
418,Product 418,589.29,297
419,Product 419,1937.51,266
420,Product 420,1008.85,236
421,Product 421,1047.91,234
422,Product 422,1638.01,329
423,Product 423,1269.07,174
424,Product 424,66.0,337
425,Product 425,1812.93,167
426,Product 426,826.71,151
427,Product 427,1090.3,223
428,Product 428,648.82,51
429,Product 429,574.37,352
430,Product 430,1398.61,189
431,Product 431,1433.68,413
432,Product 432,1396.03,398
433,Product 433,719.43,160
434,Product 434,730.55,47
435,Product 435,866.66,108
436,Product 436,1499.38,223
437,Product 437,1691.13,176
438,Product 438,1986.95,443
439,Product 439,1764.7,138
440,Product 440,739.0,180
441,Product 441,905.23,413
442,Product 442,519.07,182
443,Product 443,1993.63,36
444,Product 444,1875.36,316
445,Product 445,836.74,368
446,Product 446,1479.86,23
447,Product 447,50.94,482
448,Product 448,91.69,161
449,Product 449,753.26,275
450,Product 450,1606.39,247
451,Product 451,879.87,109
452,Product 452,1136.52,288
453,Product 453,819.96,123
454,Product 454,371.26,162
455,Product 455,1838.06,59
456,Product 456,824.46,34
457,Product 457,650.21,167
458,Product 458,267.38,332
459,Product 459,1006.99,163
460,Product 460,1212.06,489
461,Product 461,1994.71,468
462,Product 462,1778.08,131
463,Product 463,549.67,201
464,Product 464,1619.29,41
465,Product 465,558.31,65
466,Product 466,361.78,356
467,Product 467,1278.02,246
468,Product 468,1000.19,213
469,Product 469,1870.54,104
470,Product 470,885.27,13
471,Product 471,1281.8,132
472,Product 472,88.99,448
473,Product 473,561.64,251
474,Product 474,37.95,72
475,Product 475,1976.29,458
476,Product 476,681.43,21
477,Product 477,662.72,152
478,Product 478,1073.56,118
479,Product 479,1930.47,451
480,Product 480,1401.41,439
481,Product 481,1999.47,15
482,Product 482,537.12,173
483,Product 483,230.8,15
484,Product 484,1628.3,223
485,Product 485,146.26,232
486,Product 486,707.47,38
487,Product 487,1926.7,392
488,Product 488,776.39,360
489,Product 489,1035.36,197
490,Product 490,295.38,433
491,Product 491,1337.19,368
492,Product 492,178.69,469
493,Product 493,691.63,85
494,Product 494,1791.98,352
495,Product 495,1694.5,369
496,Product 496,1418.52,480
497,Product 497,1073.44,80
498,Product 498,516.62,153
499,Product 499,118.66,238
500,Product 500,562.13,153
