wishlist_id,user_id,product_id,product_name,category,brand,price,quantity,date_added,priority,availability_status,rating,review_count,discount,final_price,currency,location,device_type,user_segment,notes
37,31674,3519,Yet Agent,Components,HP,1933.47,4,2024-09-12,Low,In Stock,3.8,4011,0.43,1102.08,USD,Spain,Mobile,Professional,Whatever himself food scientist.
38,29689,14499,Career Avoid,Components,Sony,1014.04,4,2025-07-07,High,Out of Stock,4.0,3451,0.25,760.53,USD,Spain,Mobile,Professional,Finally onto painting recently campaign.
39,11619,3329,Develop Finally,Components,Samsung,2890.47,1,2025-06-28,Medium,Out of Stock,5.0,3599,0.39,1763.19,USD,Spain,Mobile,Gamer,Beautiful check staff involve social glass international you.
40,17775,1418,Positive City,Laptops,Asus,1014.85,2,2025-04-06,High,In Stock,1.6,1225,0.43,578.46,USD,Canada,Laptop,Student,Everything site until discussion daughter.
41,22870,1715,Question Reason,Audio,Acer,799.96,1,2025-10-07,High,In Stock,3.8,3995,0.31,551.97,USD,USA,Mobile,Professional,Degree argue nation.
42,25084,7001,Range Treat,Components,Asus,1727.99,4,2025-01-07,Medium,Out of Stock,3.9,981,0.16,1451.51,USD,USA,Mobile,Student,Speak production indicate help significant natural.
43,31855,14574,Beyond Loss,Accessories,Samsung,547.9,4,2025-05-17,Low,In Stock,2.7,3672,0.09,498.59,USD,USA,Desktop,Gamer,Force experience born life more career.
44,16776,5445,Year Whole,Smartphones,Asus,844.05,1,2024-04-22,Medium,Out of Stock,2.8,4387,0.05,801.85,USD,Argentina,Desktop,Student,Sometimes old child.
45,28565,2889,Happy Example,Smartphones,Sony,2961.93,2,2025-11-26,Low,Out of Stock,2.0,3050,0.18,2428.78,USD,Mexico,Desktop,Professional,Up of their paper reflect also cover several.
46,39927,1817,Sing Thank,Monitors,Sony,16.22,3,2023-12-06,Low,Preorder,4.5,970,0.37,10.22,USD,Mexico,Desktop,Gamer,Player year kind why.
47,32320,12910,By Mouth,Monitors,Sony,546.99,2,2025-02-07,High,Preorder,2.6,1958,0.36,350.07,USD,Canada,Tablet,Casual,Trip president study choose these bank.
48,9528,4668,Near Letter,Laptops,Sony,896.82,1,2025-10-24,Medium,Out of Stock,1.9,4759,0.35,582.93,USD,Spain,Mobile,Professional,And case Mr own.
49,37352,7442,Measure Our,Monitors,Apple,2749.96,2,2024-10-23,Medium,In Stock,1.5,2100,0.49,1402.48,USD,Spain,Mobile,Professional,Open young strategy weight politics.
50,14228,9426,Accept Piece,Accessories,HP,1979.4,1,2024-06-17,Medium,Out of Stock,4.0,2679,0.29,1405.37,USD,Spain,Laptop,Professional,Rate find country activity son blood.
51,7026,6242,Science There,Smartphones,Acer,2807.83,2,2025-01-01,Low,In Stock,1.7,1623,0.01,2779.75,USD,USA,Tablet,Casual,Admit station watch quality.
52,25254,4092,Region Author,Monitors,HP,1863.08,3,2025-05-23,Low,Out of Stock,2.0,4886,0.34,1229.63,USD,Canada,Laptop,Casual,Across impact amount of rate fill no.
53,21344,4549,Stock Own,Components,Sony,198.86,2,2025-07-22,High,In Stock,5.0,3851,0.14,171.02,USD,Canada,Laptop,Gamer,Follow probably require or sometimes today.
54,6701,479,Investment Open,Smartphones,Asus,2031.61,3,2025-09-25,Low,Out of Stock,3.3,289,0.11,1808.13,USD,USA,Tablet,Casual,Wish present new cause American live.
55,43870,6605,Stuff Drop,Smartphones,Asus,2128.49,4,2024-02-12,Low,Out of Stock,3.1,187,0.42,1234.52,USD,Canada,Laptop,Casual,Hundred life week present treat anyone clear.
56,34531,14160,Music Catch,Smartphones,Asus,285.19,2,2025-07-09,Medium,Out of Stock,2.5,2745,0.1,256.67,USD,Argentina,Tablet,Professional,Each type all baby door middle begin himself.
57,13210,11911,Study Stand,Audio,LG,289.33,4,2025-06-14,Medium,In Stock,1.8,1537,0.35,188.06,USD,USA,Mobile,Professional,Toward more stay garden indeed particularly us quality.
58,42525,1575,Ask Name,Components,Apple,672.83,3,2024-03-04,High,Out of Stock,2.7,2137,0.02,659.37,USD,Argentina,Desktop,Professional,Every political ability truth stock on.
59,36845,13128,Real Weight,Accessories,Apple,40.54,2,2024-08-21,Low,Out of Stock,2.9,236,0.21,32.03,USD,Canada,Mobile,Professional,Less oil human some top cultural.
60,27073,16484,Stuff Serve,Laptops,LG,2167.07,3,2024-04-06,Low,Preorder,4.6,3746,0.38,1343.58,USD,Canada,Mobile,Gamer,Individual bag away major take.
61,13532,17181,Eight Perhaps,Smartphones,Apple,1145.99,3,2025-05-14,High,Preorder,1.2,1442,0.32,779.27,USD,Spain,Tablet,Student,Practice early increase cultural.
62,45650,5233,So Early,Components,Asus,1558.43,1,2025-01-23,Low,Preorder,1.6,19,0.37,981.81,USD,Argentina,Tablet,Student,Strong win mean small.
63,46316,14162,Best Million,Monitors,Apple,1329.23,4,2025-08-26,High,In Stock,2.2,959,0.45,731.08,USD,Canada,Laptop,Casual,Land water respond training activity alone.
64,29620,16446,State Only,Laptops,Samsung,81.28,4,2024-08-19,Medium,Preorder,4.3,2323,0.0,81.28,USD,Mexico,Mobile,Professional,Must despite ok safe six two.
65,43233,19037,Wall Along,Monitors,Asus,2156.65,3,2023-12-20,Medium,Out of Stock,1.4,3183,0.3,1509.66,USD,Spain,Mobile,Professional,Chair film mouth week source sit happy.
66,38759,570,Assume Case,Audio,HP,2398.26,2,2024-05-23,Medium,In Stock,1.6,1207,0.34,1582.85,USD,Canada,Laptop,Casual,Require rise story business recent.
67,16427,19120,Long Paper,Monitors,LG,985.14,1,2024-07-26,High,In Stock,2.4,1548,0.06,926.03,USD,Mexico,Laptop,Gamer,Rest speak water pick.
68,329,19504,Someone Ready,Laptops,Samsung,1481.02,3,2024-05-27,Low,In Stock,2.3,1159,0.03,1436.59,USD,Mexico,Desktop,Casual,Practice answer everybody two nor.
69,8821,6244,Couple Age,Laptops,Asus,725.74,3,2025-05-03,Medium,Out of Stock,3.6,1289,0.22,566.08,USD,USA,Tablet,Casual,Happy current although unit above long wait.
70,35240,6290,Concern Put,Accessories,HP,1840.26,4,2025-05-06,Low,Preorder,1.4,3167,0.38,1140.96,USD,Argentina,Desktop,Professional,Together many stand rise teach accept.
71,21838,16226,In Need,Components,Acer,1499.09,3,2025-06-04,Low,Preorder,3.3,2826,0.08,1379.16,USD,Argentina,Laptop,Casual,Financial local affect itself.
72,5455,4523,Capital Air,Smartphones,Acer,2399.26,2,2024-08-23,Low,Out of Stock,3.5,3248,0.36,1535.53,USD,Argentina,Laptop,Professional,Whether what his necessary debate feeling.
73,29797,1613,Page Watch,Smartphones,Asus,629.11,4,2025-04-27,Low,Out of Stock,2.6,2043,0.21,497.0,USD,Mexico,Tablet,Student,Trade indicate character model ability.
74,3016,7011,Happy Likely,Components,Acer,396.37,1,2024-09-08,High,Preorder,1.4,4793,0.33,265.57,USD,Mexico,Mobile,Gamer,That car card detail performance.
75,31851,18603,None Hundred,Smartphones,Dell,899.93,1,2024-09-19,Medium,In Stock,3.1,3826,0.34,593.95,USD,Argentina,Tablet,Professional,Identify politics job guy leg follow.
76,38210,8792,Activity Cold,Smartphones,LG,2098.81,1,2025-02-01,High,Out of Stock,3.2,4343,0.35,1364.23,USD,Argentina,Laptop,Professional,Really minute sound party.
77,44828,1279,Stop Beat,Laptops,Asus,2029.97,2,2024-12-12,Medium,Out of Stock,2.1,772,0.47,1075.88,USD,USA,Desktop,Casual,Five above according per unit budget wife.
78,25059,17569,Computer Member,Monitors,LG,1257.3,4,2024-08-06,Low,Out of Stock,4.3,135,0.16,1056.13,USD,Spain,Laptop,Casual,Look friend service media stock.
79,27612,8157,Short Buy,Smartphones,LG,2945.36,4,2024-01-15,Medium,Out of Stock,1.1,588,0.09,2680.28,USD,Spain,Laptop,Student,Spring TV actually.
80,18773,18540,Only Effort,Components,Samsung,909.99,3,2024-01-10,Low,In Stock,4.7,1167,0.16,764.39,USD,Argentina,Mobile,Casual,Onto six third according.
81,37285,1618,Suddenly Three,Laptops,Apple,1041.76,2,2023-12-20,Low,In Stock,2.7,1216,0.4,625.06,USD,Mexico,Tablet,Gamer,Country order money husband plan child.
82,41536,14651,Call Pretty,Accessories,HP,2481.03,1,2024-07-15,Low,In Stock,3.8,2379,0.45,1364.57,USD,Mexico,Tablet,Professional,Bring deal movie local until exist suddenly.
83,7873,12439,Ability Film,Accessories,Samsung,1768.53,1,2024-01-10,High,Preorder,3.8,594,0.35,1149.54,USD,Canada,Mobile,Student,Wear spend always without computer.
84,39859,8175,Expect Court,Components,LG,2412.52,4,2024-03-26,Medium,Preorder,4.5,4825,0.14,2074.77,USD,USA,Laptop,Student,Order she reduce.
85,21774,12940,Must Officer,Monitors,Dell,2169.4,4,2025-02-08,High,Out of Stock,1.7,4527,0.3,1518.58,USD,Mexico,Desktop,Professional,Music member night commercial list not along.
86,13141,13511,Tend Receive,Monitors,Apple,2798.11,2,2024-06-05,High,Preorder,2.4,955,0.13,2434.36,USD,USA,Desktop,Casual,True everyone you collection pass.
87,21902,13566,Other Safe,Laptops,Acer,163.04,2,2024-05-27,Low,In Stock,4.3,235,0.2,130.43,USD,Canada,Desktop,Gamer,Quality early ten traditional seven admit partner adult.
88,20719,3688,Think Billion,Components,Apple,1405.47,3,2024-01-12,Low,Preorder,2.0,4171,0.17,1166.54,USD,Mexico,Mobile,Casual,Ever better have increase defense step avoid or.
89,40446,7133,Daughter Bank,Accessories,Apple,2462.55,1,2024-08-24,High,Preorder,4.8,3458,0.42,1428.28,USD,Spain,Tablet,Gamer,Benefit company meet then couple development war.
90,39460,412,Consumer Area,Components,Asus,2381.57,4,2024-12-27,Low,Out of Stock,2.3,1175,0.1,2143.41,USD,Canada,Tablet,Gamer,Prove trial statement whom simply summer.
91,12098,19546,Crime If,Audio,Asus,2663.54,2,2024-08-18,High,Out of Stock,3.1,2074,0.41,1571.49,USD,Canada,Tablet,Casual,Some how deep reflect number most.
92,11268,17421,Change Quickly,Laptops,Acer,2132.37,4,2025-11-03,Medium,In Stock,3.3,516,0.24,1620.6,USD,Argentina,Desktop,Student,Offer tough democratic prove memory.
93,21080,10117,Those Each,Audio,LG,1954.74,2,2025-10-02,High,Preorder,4.0,1176,0.04,1876.55,USD,Mexico,Mobile,Student,Model minute themselves stop develop game.
94,15219,11047,People Provide,Audio,LG,2334.35,3,2025-02-02,High,In Stock,3.5,4432,0.5,1167.18,USD,Canada,Mobile,Casual,Decision population expect religious figure.
95,38708,5606,Bar Big,Laptops,Apple,1081.23,3,2024-08-04,Low,In Stock,2.9,1500,0.45,594.68,USD,Spain,Tablet,Casual,Produce million citizen face.
96,20383,6255,Style Purpose,Monitors,Dell,1301.22,3,2025-05-18,High,Preorder,1.8,4385,0.41,767.72,USD,USA,Laptop,Casual,Site doctor himself draw local wish one.
97,46920,8534,Operation Role,Accessories,Asus,2254.5,3,2025-10-05,High,In Stock,2.1,2625,0.44,1262.52,USD,USA,Laptop,Casual,Difference approach between here PM.
98,13887,3352,Candidate These,Components,HP,936.39,2,2025-06-18,High,Out of Stock,4.0,1269,0.13,814.66,USD,Spain,Desktop,Student,Boy company very according fine simply.
99,9379,2725,Whole Dark,Laptops,Apple,710.05,1,2025-08-20,Low,In Stock,1.0,1819,0.13,617.74,USD,Spain,Laptop,Gamer,Yeah run every box.
100,31084,15830,When Some,Monitors,Apple,2279.73,3,2024-02-19,Low,Preorder,4.7,4288,0.49,1162.66,USD,Argentina,Mobile,Professional,Operation not compare institution blue employee former ok.
101,23549,18839,Far Dinner,Monitors,HP,126.28,4,2024-11-24,High,Preorder,4.0,3921,0.11,112.39,USD,Mexico,Laptop,Casual,Health school interview enter report ground.
102,14000,7568,Another Than,Laptops,Sony,1389.77,1,2025-01-09,High,Out of Stock,1.4,0,0.35,903.35,USD,Argentina,Mobile,Student,Hold exist agency staff.
103,26490,16662,Assume Represent,Components,HP,1732.78,1,2025-11-22,Medium,Out of Stock,4.5,4314,0.38,1074.32,USD,Spain,Tablet,Student,Past art draw.
104,36332,4770,Event Information,Audio,Samsung,1147.58,4,2024-11-23,Low,Out of Stock,3.9,4474,0.17,952.49,USD,Spain,Tablet,Student,Simple laugh fast gun play time.
105,10969,11588,Dream Six,Smartphones,Sony,1619.38,4,2025-06-05,High,In Stock,3.9,1587,0.19,1311.7,USD,Canada,Desktop,Student,Write significant second money clearly college cut.
106,39561,11435,Paper Enough,Smartphones,Sony,1422.26,2,2023-12-13,Medium,Out of Stock,4.4,3523,0.44,796.47,USD,Spain,Tablet,Student,Knowledge up you option likely on.
107,30716,12306,Picture Indicate,Components,Samsung,2806.43,4,2024-03-12,Medium,In Stock,3.7,49,0.35,1824.18,USD,Canada,Tablet,Casual,North start gas few including.
108,42029,14828,Good Within,Monitors,Acer,1192.99,1,2025-08-16,Medium,Out of Stock,1.8,1268,0.2,954.39,USD,Argentina,Desktop,Professional,Happen cold give language brother.
109,45049,8772,Hope War,Monitors,HP,56.41,4,2024-02-13,Medium,Out of Stock,1.3,1075,0.12,49.64,USD,USA,Mobile,Student,Piece on majority society human walk which.
110,597,13967,Detail Forward,Laptops,Acer,2122.46,3,2025-05-09,Medium,Out of Stock,3.5,2381,0.16,1782.87,USD,Canada,Tablet,Student,Case bank but whose unit agent.
111,35255,10711,Morning Purpose,Components,Asus,1046.05,3,2024-12-22,Medium,Out of Stock,3.3,641,0.07,972.83,USD,USA,Mobile,Professional,That thousand spend.
112,16052,4005,Create Poor,Accessories,Samsung,672.59,1,2025-10-22,High,Out of Stock,2.8,1675,0.44,376.65,USD,Canada,Tablet,Casual,Material hope consider candidate author here whose.
113,44757,18730,Challenge Environment,Audio,HP,656.39,4,2025-01-13,Low,Preorder,4.0,4599,0.11,584.19,USD,Canada,Laptop,Casual,Picture what reduce site can concern.
114,49270,13709,Since Allow,Components,Apple,1866.2,3,2025-08-14,Medium,Preorder,1.4,1678,0.38,1157.04,USD,Spain,Tablet,Gamer,Energy open process.
115,21798,9022,Decision Affect,Smartphones,Sony,2162.51,2,2025-01-03,Low,Preorder,2.6,3093,0.2,1730.01,USD,Spain,Laptop,Professional,Act figure phone.
116,38203,15847,Other Mrs,Accessories,Sony,458.96,2,2024-09-30,Medium,Preorder,4.0,4750,0.49,234.07,USD,Canada,Laptop,Professional,Great right theory lawyer instead far.
117,41112,633,Shake Fear,Laptops,Acer,761.13,3,2025-05-08,Low,Preorder,1.1,657,0.06,715.46,USD,Argentina,Mobile,Gamer,Entire official later discuss push get.
118,15149,9124,Yeah Add,Monitors,HP,2779.11,2,2024-07-02,High,Out of Stock,1.6,2772,0.49,1417.35,USD,USA,Desktop,Gamer,Available its line.
119,22607,16517,Suddenly Bar,Laptops,LG,2656.02,1,2024-12-01,Low,Out of Stock,4.1,4893,0.1,2390.42,USD,Argentina,Desktop,Professional,Itself true give risk participant election.
120,27406,2380,Partner Wife,Accessories,LG,2552.93,4,2024-10-29,Medium,Out of Stock,1.5,4567,0.34,1684.93,USD,Argentina,Laptop,Gamer,Well fish choice detail important later.
121,48950,9765,Listen Exactly,Smartphones,Dell,954.46,2,2024-07-10,Medium,In Stock,4.4,3166,0.09,868.56,USD,Argentina,Laptop,Gamer,Forget course five myself economic air meet.
122,46063,12536,Yard Help,Audio,Apple,1214.59,2,2024-02-10,High,Out of Stock,1.4,446,0.4,728.75,USD,Argentina,Desktop,Professional,Teach find machine treat test wonder.
123,27428,11218,Even Ask,Audio,Samsung,2798.98,3,2024-05-25,Medium,In Stock,2.4,4856,0.3,1959.29,USD,Mexico,Tablet,Casual,Usually return clear edge expect.
124,33837,13610,Training Create,Smartphones,Samsung,2692.94,4,2025-10-05,Medium,Out of Stock,2.8,484,0.36,1723.48,USD,Mexico,Tablet,Casual,Million put amount mind rest arrive reach particular.
125,26539,7638,Might Stop,Laptops,Samsung,1546.6,4,2024-05-05,High,In Stock,3.8,1769,0.03,1500.2,USD,Argentina,Laptop,Student,She tough share him another fly.
126,31122,1277,Able Key,Accessories,Dell,107.64,1,2024-07-06,Medium,In Stock,2.0,3772,0.14,92.57,USD,Mexico,Desktop,Student,State memory pull case.
127,29390,15293,Fast Stage,Audio,HP,238.17,2,2024-09-13,Low,Out of Stock,1.3,2618,0.13,207.21,USD,USA,Tablet,Student,Turn himself theory them amount.
128,43277,7683,Thank Next,Laptops,Asus,1099.82,2,2025-01-24,Medium,Preorder,1.0,1476,0.2,879.86,USD,Argentina,Mobile,Casual,Five medical worker major.
129,38143,11235,Raise Low,Accessories,Apple,1221.85,3,2024-07-05,Medium,In Stock,3.6,4660,0.41,720.89,USD,Mexico,Mobile,Casual,Picture movie around.
130,22264,4542,Similar Such,Laptops,Dell,709.68,3,2025-06-23,Medium,Out of Stock,3.1,2904,0.35,461.29,USD,Canada,Laptop,Casual,Laugh from college interest reduce than international candidate.
131,1185,4696,Along Owner,Audio,LG,2152.12,3,2025-03-25,Low,In Stock,2.7,1400,0.02,2109.08,USD,Mexico,Tablet,Professional,Stage shake talk country nothing.
132,3949,18691,Wind I,Monitors,Asus,2598.78,1,2025-07-27,Medium,Out of Stock,1.6,3030,0.16,2182.98,USD,Mexico,Laptop,Student,Fire or act along tax daughter condition.
133,31455,14632,Effect Heart,Components,HP,573.66,2,2024-12-05,Medium,Out of Stock,3.5,1317,0.08,527.77,USD,USA,Tablet,Casual,Which cause high we.
134,42232,17172,Education About,Smartphones,Asus,1685.22,3,2025-04-30,Low,Preorder,3.2,2163,0.06,1584.11,USD,Mexico,Mobile,Gamer,Authority food possible benefit environmental recently.
135,24518,3455,Name Learn,Components,HP,2181.45,4,2024-11-18,Medium,In Stock,2.5,786,0.24,1657.9,USD,Spain,Laptop,Professional,Argue since performance young machine often bag.
136,14390,8516,Then Hospital,Laptops,Asus,1789.56,1,2024-03-09,High,In Stock,4.0,739,0.27,1306.38,USD,Argentina,Tablet,Casual,Upon true general check.
137,25604,5527,Later Purpose,Smartphones,Apple,2765.46,3,2025-06-16,Low,Out of Stock,2.5,2183,0.41,1631.62,USD,USA,Tablet,Professional,Natural third which.
138,42752,14596,Really Sound,Audio,LG,2292.78,1,2025-07-18,High,Out of Stock,2.1,399,0.41,1352.74,USD,Spain,Laptop,Gamer,Assume experience information matter decide seat reflect.
139,8399,15144,Military President,Laptops,HP,2434.94,2,2024-10-26,Medium,Preorder,2.8,4835,0.25,1826.2,USD,Canada,Tablet,Professional,Art piece finally cultural recognize game action.
140,21089,7265,Car Side,Monitors,Acer,380.15,3,2024-02-11,High,Out of Stock,4.9,3317,0.32,258.5,USD,Canada,Desktop,Student,Reflect type your consumer task my include.
141,29226,16289,Audience Expect,Laptops,Dell,1591.91,4,2024-05-31,Medium,Preorder,4.7,1324,0.41,939.23,USD,USA,Laptop,Professional,Image interview under.
142,23144,12678,Score When,Components,Apple,1030.38,3,2024-10-12,Low,In Stock,2.0,2010,0.32,700.66,USD,USA,Laptop,Gamer,Across box style left store be no.
143,4093,14865,Call While,Monitors,Apple,2097.86,4,2025-09-06,Low,Preorder,2.6,3525,0.38,1300.67,USD,Canada,Desktop,Casual,Town main way member.
144,6153,3347,School Performance,Components,HP,552.95,3,2024-12-15,Low,Out of Stock,4.9,1134,0.04,530.83,USD,Spain,Mobile,Professional,Culture significant person event technology.
145,30424,18929,Full Rise,Components,Sony,1127.38,4,2024-11-02,Medium,Preorder,4.7,4243,0.33,755.34,USD,Mexico,Tablet,Student,Blue education city drug here against degree.
146,23475,14875,Across Speak,Smartphones,HP,2686.95,3,2024-08-21,Low,In Stock,4.0,4076,0.06,2525.73,USD,Argentina,Desktop,Casual,Seven head gas specific ability sure production during.
147,40550,5043,Mouth Enter,Monitors,Sony,438.5,3,2025-09-05,Low,Out of Stock,1.5,14,0.34,289.41,USD,USA,Tablet,Professional,Choose skin write else.
148,25764,1630,Property Wife,Monitors,HP,1984.78,1,2025-02-07,Low,Preorder,2.0,1370,0.32,1349.65,USD,USA,Desktop,Casual,Experience decade everyone spend full.
149,4917,17380,Human Need,Monitors,LG,2870.06,1,2024-10-13,Medium,Preorder,2.5,1728,0.12,2525.65,USD,Mexico,Desktop,Casual,Miss serve identify statement.
150,8435,10680,Check Red,Smartphones,LG,419.0,2,2025-08-15,Low,In Stock,4.2,3269,0.2,335.2,USD,Canada,Mobile,Professional,Spring mother recently reason skill crime soon civil.
151,5859,10690,Main Their,Laptops,Asus,846.88,1,2025-02-06,High,Preorder,1.9,2025,0.04,813.0,USD,Canada,Laptop,Student,Skill clearly somebody campaign field especially.
152,43353,12575,Any Should,Laptops,LG,1653.91,4,2025-01-23,High,Out of Stock,2.2,3653,0.33,1108.12,USD,Argentina,Laptop,Casual,Executive pay form job member since.
153,43061,1513,Idea Yeah,Components,Apple,2922.45,3,2024-08-14,High,Out of Stock,1.4,648,0.21,2308.74,USD,Spain,Tablet,Student,Against type it community office country cut eye.
154,15763,16072,Born Wrong,Components,HP,1712.42,1,2023-12-31,Medium,Out of Stock,3.7,3604,0.33,1147.32,USD,Canada,Desktop,Professional,Water candidate other growth water.
155,14422,11316,Morning Southern,Accessories,Acer,2204.71,2,2023-12-03,High,Out of Stock,2.4,4119,0.23,1697.63,USD,Mexico,Mobile,Professional,Top study improve blue I.
156,7668,11213,About Free,Audio,Sony,396.01,1,2024-11-28,Medium,Out of Stock,2.5,3249,0.45,217.81,USD,Mexico,Desktop,Casual,Tree speak beautiful old.
